id_1,adi,id_2,akifer,groundwater_sensitivity,id,istno,last1month,last3month,last6month,last12month,last24month,last9month,drought_severity,area,agricultural_area_pressure,drought_norm,groundwater_norm,final_water_stress_score,agricultural_water_stress_score
isletmesinirlari.46,ACIPAYAM TİM,akifersinirlari.131279,Sınırlı Verimli,0.5,spikuraklikindeks.37.762.29.092099999999999,17237,0.31,0.93,1.53,-0.69,-1.35,-0.51,0.615,50407.588845005506,0.00014518651547766462,0.5722222222222222,0.4999999999999999,0.43252903730309555,0.43252903730309555
isletmesinirlari.46,ACIPAYAM TİM,akifersinirlari.131281,Sınırlı Verimli,0.5,spikuraklikindeks.37.762.29.092099999999999,17237,0.31,0.93,1.53,-0.69,-1.35,-0.51,0.615,15474.913090414186,4.41701234769576e-05,0.5722222222222222,0.4999999999999999,0.43250883402469537,0.43250883402469537
isletmesinirlari.46,ACIPAYAM TİM,akifersinirlari.133525,Verimli,0.8,spikuraklikindeks.37.762.29.092099999999999,17237,0.31,0.93,1.53,-0.69,-1.35,-0.51,0.615,28922444.99811164,0.08363575761523728,0.5722222222222222,1.0,0.6242271515230474,0.6242271515230474
isletmesinirlari.47,ACIPAYAM1 TİM,akifersinirlari.133525,Verimli,0.8,spikuraklikindeks.37.762.29.092099999999999,17237,0.31,0.93,1.53,-0.69,-1.35,-0.51,0.615,9715578.401022177,0.028094396314797352,0.5722222222222222,1.0,0.6131188792629594,0.6131188792629594
isletmesinirlari.48,TAHİROVA TİM,akifersinirlari.92045,Verimli,0.8,spikuraklikindeks.40.113500000000002.27.642600000000002,17674,-0.37,-0.9,-0.59,-1.7,-0.32,-1.97,0.7833333333333333,17777638.09903858,0.05140781749413221,0.7592592592592593,1.0,0.7019482301654931,0.7019482301654931
isletmesinirlari.48,TAHİROVA TİM,akifersinirlari.93404,Verimli,0.8,spikuraklikindeks.40.113500000000002.27.642600000000002,17674,-0.37,-0.9,-0.59,-1.7,-0.32,-1.97,0.7833333333333333,17777638.09903858,0.05140781749413221,0.7592592592592593,1.0,0.7019482301654931,0.7019482301654931
isletmesinirlari.49,KUMKALE TİM,akifersinirlari.31979,Verimsiz,0.2,spikuraklikindeks.40.140999999999998.26.3993,17112,-0.47,-1.09,-1.18,-2.42,-1.3,-2.7,0.9033333333333333,120183.55506463215,0.00034696082001096354,0.8925925925925926,0.0,0.4017360588306689,0.4017360588306689
isletmesinirlari.49,KUMKALE TİM,akifersinirlari.93731,Sınırlı Verimli,0.5,spikuraklikindeks.40.140999999999998.26.3993,17112,-0.47,-1.09,-1.18,-2.42,-1.3,-2.7,0.9033333333333333,10479141.719473451,0.03030242675700866,0.8925925925925926,0.4999999999999999,0.5827271520180684,0.5827271520180684
isletmesinirlari.49,KUMKALE TİM,akifersinirlari.93810,Verimli,0.8,spikuraklikindeks.40.140999999999998.26.3993,17112,-0.47,-1.09,-1.18,-2.42,-1.3,-2.7,0.9033333333333333,818048.782784532,0.0023650091339237783,0.8925925925925926,1.0,0.7521396684934515,0.7521396684934515
isletmesinirlari.50,ATATÜRK TİM,akifersinirlari.28042,Sınırlı Verimli,0.5,spikuraklikindeks.40.230800000000002.29.013300000000001,17116,-0.37,-1.15,-2.16,-1.67,-0.68,-2.15,0.7783333333333333,851234.3663508276,0.0024609733807468845,0.7537037037037037,0.4999999999999999,0.514658861342816,0.514658861342816
