id,kentAtlasiDegeriKodu,kentAtlasiDegeri,gecirimsizlikKatmani,tucbsNo,aciklama,gecerlilikBaslangici,gecerlilikSonu,gozlemTarihi,hilucsAraziKullanimi,hilucsDurumu,olcek,surumBaslangicZamani,surumBitisZamani,total_population,estimated_water_supply,population_pressure,urban_water_stress_score
sehirAtlasi.1,11230,Düşük Yoğunluklu Süreksiz Kentsel Alan (10% - 30%),20,CBSGM_1_338821,,2019-02-18 00:00:00+00:00,,,,,1:10000,,,0.0,2.4158856509330553,0.0,0.0
sehirAtlasi.672,12170,İbadethane Alanları,0,CBSGM_1_7976389,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.0151939108894168,0.0,0.0
sehirAtlasi.659,12150,Eğitim Alanları,9,CBSGM_1_7976378,,2019-05-30 00:00:00+00:00,,,,,1:10000,,,0.0,1.2759315752126767,0.0,0.0
sehirAtlasi.660,12170,İbadethane Alanları,0,CBSGM_1_7976379,,2019-05-30 00:00:00+00:00,,,,,1:10000,,,0.0,0.9276704190868084,0.0,0.0
sehirAtlasi.661,12170,İbadethane Alanları,0,CBSGM_1_7976380,,2019-05-30 00:00:00+00:00,,,,,1:10000,,,0.0,1.0517272211902498,0.0,0.0
sehirAtlasi.662,12170,İbadethane Alanları,0,CBSGM_1_7976381,,2019-05-30 00:00:00+00:00,,,,,1:10000,,,0.0,1.3131757724771298,0.0,0.0
sehirAtlasi.663,12150,Eğitim Alanları,0,CBSGM_1_7976382,,2019-11-14 00:00:00+00:00,,,,,1:10000,,,0.0,1.2849898835821656,0.0,0.0
sehirAtlasi.664,13400,Mevcut Kullanımı Olmayan Alanlar,0,CBSGM_1_7976383,,2019-05-30 00:00:00+00:00,,,,,1:10000,,,0.0,1.2919954086959327,0.0,0.0
sehirAtlasi.665,11240,Çok Düşük Yoğunluklu Süreksiz Kentsel Alan (< 10%),0,CBSGM_1_7976384,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.0566173685024827,0.0,0.0
sehirAtlasi.666,11210,Yüksek Yoğunluklu Süreksiz Kentsel Alan (50% - 80%),0,CBSGM_1_7976385,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.2060792387488464,0.0,0.0
sehirAtlasi.667,12170,İbadethane Alanları,0,CBSGM_1_7976386,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.5738239459071257,0.0,0.0
sehirAtlasi.668,13300,İnşaat Alanları,0,CBSGM_1_7976387,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.4598127583755902,0.0,0.0
sehirAtlasi.669,12130,Kamu Alanları,0,CBSGM_1_7976388,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.305836932004897,0.0,0.0
sehirAtlasi.670,11240,Çok Düşük Yoğunluklu Süreksiz Kentsel Alan (< 10%),8,CBSGM_1_142500,,2019-06-17 00:00:00+00:00,,,,,1:10000,,,0.0,0.8247886347160489,0.0,0.0
sehirAtlasi.671,11220,Orta Yoğunluklu Süreksiz Kentsel Alan (30% - 50%),28,CBSGM_1_142501,,2019-02-08 00:00:00+00:00,,,,,1:10000,,,0.0,0.8279581585303601,0.0,0.0
sehirAtlasi.673,12120,Ticaret Alanları,0,CBSGM_1_7976390,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.2223292727419106,0.0,0.0
sehirAtlasi.688,11210,Yüksek Yoğunluklu Süreksiz Kentsel Alan (50% - 80%),34,CBSGM_1_1398983,,2019-02-25 00:00:00+00:00,,,,,1:10000,,,0.0,0.5611113483649323,0.0,0.0
sehirAtlasi.674,12110,Sanayi ve Üretim Alanları,0,CBSGM_1_7976391,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.2544807433051899,0.0,0.0
sehirAtlasi.675,12120,Ticaret Alanları,0,CBSGM_1_7976392,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.3016682411857603,0.0,0.0
sehirAtlasi.676,14120,Kent İçindeki Yeşil Alanlar ( Aktif ),0,CBSGM_1_7976393,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.308862087431283,0.0,0.0
sehirAtlasi.677,12170,İbadethane Alanları,0,CBSGM_1_7976394,,2019-11-14 00:00:00+00:00,,,,,1:10000,,,0.0,1.3141202901386424,0.0,0.0
sehirAtlasi.678,32000,Maki veya Otsu Bitkiler,0,CBSGM_1_7976395,,2019-11-14 00:00:00+00:00,,,,,1:10000,,,0.0,1.0225032516244503,0.0,0.0
sehirAtlasi.679,12130,Kamu Alanları,0,CBSGM_1_7976396,,2019-11-14 00:00:00+00:00,,,,,1:10000,,,0.0,1.21404098068356,0.0,0.0
sehirAtlasi.680,12130,Kamu Alanları,0,CBSGM_1_7976397,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.1886839013388268,0.0,0.0
sehirAtlasi.681,12170,İbadethane Alanları,0,CBSGM_1_7976398,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.2158133449961155,0.0,0.0
sehirAtlasi.682,50000,Su Alanları,0,CBSGM_1_7976399,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.2915838800827286,0.0,0.0
sehirAtlasi.683,11300,İzole Yapılar,0,CBSGM_1_7976400,,2019-06-10 00:00:00+00:00,,,,,1:10000,,,0.0,1.295076783421428,0.0,0.0
sehirAtlasi.684,12110,Sanayi ve Üretim Alanları,0,CBSGM_1_7976401,,2019-11-14 00:00:00+00:00,,,,,1:10000,,,0.0,1.2959420096074337,0.0,0.0
sehirAtlasi.685,11100,Sürekli Kentsel Alan (> 80%),55,CBSGM_1_808,,2019-02-06 00:00:00+00:00,,,,,1:10000,,,0.0,0.4463011429676932,0.0,0.0
sehirAtlasi.686,11100,Sürekli Kentsel Alan (> 80%),38,CBSGM_1_1398981,,2019-02-25 00:00:00+00:00,,,,,1:10000,,,0.0,0.5556674172551951,0.0,0.0
sehirAtlasi.658,12150,Eğitim Alanları,9,CBSGM_1_7976377,,2019-05-30 00:00:00+00:00,,,,,1:10000,,,0.0,1.2585737669874515,0.0,0.0
