id,ka_adi,ka_tip,il_ilce,ilan_tarihi,revizyon_tarihi,alan_ha,ecosystem_type,ecosystem_id,drought_severity,groundwater_sensitivity,fault_distance_m,wetland_proximity_risk,protected_area_importance,drought_norm,groundwater_sensitivity_norm,wetland_proximity_risk_norm,protected_area_importance_norm,ecosystem_water_sensitivity_score
milliparklar.485,YUMURTALIK_LAGÜNÜ_MP,MilliParklar,"Adana-Karatas, Adana-Yumurtalik",2008-12-05 22:00:00+00:00,,16979.9415274,National Park,27,0.9783333333333334,0.8,9445.365371505699,0.8298483618640939,0.17745489604809758,0.9783333333333334,1.0,0.41492418093204697,0.17745489604809758,0.7520197372602907
milliparklar.140,TROYA TARIHI_MP,MilliParklar,"Çanakkale-Ezine, Çanakkale-Çanakkale_Merkez Ilçe",1996-11-06 22:00:00+00:00,,13517.1873703,National Park,16,0.9033333333333333,0.8,29275.346539540962,1.0,0.15468756749652593,0.9033333333333333,1.0,0.5,0.15468756749652593,0.7393698017911455
tabiatparki.621,POYRAZLAR GÖLÜ_TP,TabiatParklari,"Sakarya-Sögütlü, Sakarya-Adapazari",2011-07-10 21:00:00+00:00,2012-06-14 21:00:00+00:00,231.000585953,Nature Park,280,0.9383333333333334,0.8,3449.0592965614155,0.9804102726095735,0.002690843864329118,0.9383333333333334,1.0,0.49020513630478674,0.002690843864329118,0.7268613205072733
milliparklar.573,BEYSEHIR GÖLÜ_MP,MilliParklar,"Isparta-Yenisarbademli, Isparta-Sütçüler, Isparta-Sarkikaraagaç, Isparta-Aksu, Konya-Hüyük, Konya-Beysehir",1993-01-10 22:00:00+00:00,2018-11-26 21:00:00+00:00,82156.8951,National Park,38,0.8083333333333332,0.8,13892.745660730536,0.0,0.8833940285121217,0.8083333333333332,1.0,0.0,0.8833940285121217,0.7154257709434848
milliparklar.616,KIZILDAG_MP,MilliParklar,"Isparta-Yenisarbademli, Isparta-Sütçüler, Isparta-Sarkikaraagaç, Isparta-Aksu, Konya-Hüyük, Isparta-Gelendost, Konya-Beysehir, Isparta-Egirdir",1969-05-08 22:00:00+00:00,2018-11-26 21:00:00+00:00,80200.4197,National Park,41,0.815,0.8,9712.308497251879,0.0,0.8650568721382613,0.815,1.0,0.0,0.8650568721382613,0.7150085308207391
tabiatparki.326,SARIMSAKLI_TP,TabiatParklari,Balikesir-Ayvalik,2011-07-10 21:00:00+00:00,2025-04-21 21:00:00+00:00,1.84,Nature Park,159,0.865,0.8,39293.367136865,1.0,0.0,0.865,1.0,0.5,0.0,0.7027499999999999
milliparklar.678,AKDAG_MP,MilliParklar,"Denizli-Çivril, Afyonkarahisar-Sandikli",2024-01-16 21:00:00+00:00,,15933.0,National Park,46,0.8816666666666667,0.8,8678.799906412598,0.655502108089666,0.17386295288076148,0.8816666666666667,1.0,0.327751054044833,0.17386295288076148,0.700212987074414
milliparklar.71,ALADAGLAR_MP,MilliParklar,"Kayseri-Yahyali, Adana-Aladag, Nigde-Çamardi",1995-04-20 21:00:00+00:00,,55064.4081176,National Park,11,0.8583333333333334,0.8,8065.762167165872,0.0,0.5930379489399467,0.8583333333333334,1.0,0.0,0.5930379489399467,0.6893723590076586
milliparklar.705,SAKARYA_MP,MilliParklar,"Ankara-Polatli, Ankara-Haymana",2015-02-07 22:00:00+00:00,2025-03-20 21:00:00+00:00,22487.79,National Park,48,1.0,0.8,23861.797825892532,0.0,0.25341124504020707,1.0,1.0,0.0,0.25341124504020707,0.688011686756031
tabiatparki.543,SULTANDAGI_TP,TabiatParklari,Afyonkarahisar-Sultandagi,2020-04-05 21:00:00+00:00,,96.9,Nature Park,251,0.8083333333333332,0.8,971.9085094165868,1.0,0.001044655007010317,0.8083333333333332,1.0,0.5,0.001044655007010317,0.6830733649177181
